
animal(molusco, pulpo,           invertebrado, fria,        no,   no,   respirar, marino,   oviparo,    no,    no,     no, siente, vida, baja,  no,         grande, normal).
animal(molusco, calamar_gigante, invertebrado, fria,        no,   no,   respirar, marino,   oviparo,    no,    no,     no, siente, vida, media, vulnerable, grande, normal).
animal(molusco, sepia,           invertebrado, fria,        no,   no,   respirar, terrestre,oviparo,    no,    no,     no, siente, vida, baja,  no,         pequenio, lento).
animal(molusco, nautilus,        invertebrado, fria,        no,   no,   respirar, marino,   oviparo,    no,    no,     no, siente, vida, alta,  vulnerable, pequenio, lento).
animal(molusco, bivalvos,        invertebrado, fria,        no,   no,   respirar, terrestre,oviparo,    no,    no,     no, siente, vida, baja,  no,         pequenio, lento).

animal(pez, cometa,              vertebrado, fria,       escamas, no,   respirar, acuatico, oviparo,    no,    no, huesos, siente, vida, baja,      no,     pequenio, rapido).
animal(pez, beta,                vertebrado, fria,       escamas, no,   respirar, acuatico, oviparo,    no,    no, huesos, siente, vida, baja,      no,     pequenio, rapido).
animal(pez, carpa_comun,         vertebrado, fria,       escamas, no,   respirar, acuatico, oviparo,    no,    no, huesos, siente, vida, baja,      no,     pequenio, rapido).
animal(pez, oranda,              vertebrado, fria,       escamas, no,   respirar, acuatico, oviparo,    no,    no, huesos, siente, vida, baja,      no,     pequenio, rapido).
animal(pez, espada,              vertebrado, fria,       escamas, no,   respirar, acuatico, oviparo,    no,    no, huesos, siente, vida, baja,      no,     pequenio, rapido).

animal(reptil, iguana,           vertebrado, fria,       escamas, no,   respirar, terrestre,oviparo,    no,    no, huesos, siente, vida, media,     no,     pequenio, rapido).
animal(reptil, lagarto,          vertebrado, fria,       escamas, no,   respirar, terrestre,oviparo,    no,    no, huesos, siente, vida, media,     no,     pequenio, rapido).
animal(reptil, cocodrilo,        vertebrado, fria,       escamas, no,   respirar, terrestre,oviparo,    no,    no, huesos, siente, vida, alta, vulnerable,  grande,   normal).
animal(reptil, tortuga,          vertebrado, fria,       escamas, no,   respirar, terrestre,oviparo,    no,    no, huesos, siente, vida, alta, vulnerable,  pequenio, lento).
animal(reptil, camaleon,         vertebrado, fria,       escamas, no,   respirar, terrestre,oviparo,    no,    no, huesos, siente, vida, baja, vulnerable,  pequenio, lento).

animal(ave, codorniz,            vertebrado, caliente,   plumas,  alas, respirar, terrestre,oviparo,    no, volar, huesos, siente, vida, media,    no,      pequenio, rapido).
animal(ave, garza,               vertebrado, caliente,   plumas,  alas, respirar, terrestre,oviparo,    no, volar, huesos, siente, vida, media,    no,      pequenio, rapido).
animal(ave, aguila,              vertebrado, caliente,   plumas,  alas, respirar, terrestre,oviparo,    no, volar, huesos, siente, vida, media,    no,      pequenio, rapido).
animal(ave, tucan,               vertebrado, caliente,   plumas,  alas, respirar, terrestre,oviparo,    no, volar, huesos, siente, vida, media,    no,      pequenio, rapido).
animal(ave, colibri,             vertebrado, caliente,   plumas,  alas, respirar, terrestre,oviparo,    no, volar, huesos, siente, vida, baja,     no,      pequenio, rapido).

animal(mamifero, panda,          vertebrado, caliente,   pelo,    no,   respirar, terrestre,    no,   leche,  no,  huesos, siente, vida, media, vulnerable, grande,   lento).
animal(mamifero, koala,          vertebrado, caliente,   pelo,    no,   respirar, terrestre,    no,   leche,  no,  huesos, siente, vida, media, vulnerable, pequenio, lento).
animal(mamifero, leopardo,       vertebrado, caliente,   pelo,    no,   respirar, terrestre,    no,   leche,  no,  huesos, siente, vida, media, vulnerable, grande,   rapido).
animal(mamifero, tigre,          vertebrado, caliente,   pelo,    no,   respirar, terrestre,    no,   leche,  no,  huesos, siente, vida, media, vulnerable, grande,   rapido).
animal(mamifero, elefante,       vertebrado, caliente,   pelo,    no,   respirar, terrestre,    no,   leche,  no,  huesos, siente, vida, alta,  vulnerable, grande,   normal).


